trial,rep,variety,yield,grain_protein,test_weight
SWIdahoCereals_H_S_PAR_2018,1,12SB0197,71.69333255,9.8325,62.1
SWIdahoCereals_H_S_PAR_2018,2,12SB0197,108.603011,9.6025,64.2
SWIdahoCereals_H_S_PAR_2018,3,12SB0197,81.71237266,11.27,65.6
SWIdahoCereals_H_S_PAR_2018,4,12SB0197,103.8430259,10.35,64.3
SWIdahoCereals_H_S_PAR_2018,1,Jefferson,65.26588863,10.235,62.8
SWIdahoCereals_H_S_PAR_2018,2,Jefferson,104.3735521,11.04,65.2
SWIdahoCereals_H_S_PAR_2018,3,Jefferson,91.34522104,10.1775,65.1
SWIdahoCereals_H_S_PAR_2018,4,Jefferson,84.68751702,10.5225,65.6
SWIdahoCereals_H_S_PAR_2018,1,Dayn,70.75757152,9.89,65
SWIdahoCereals_H_S_PAR_2018,2,Dayn,101.7585034,11.73,65.3
SWIdahoCereals_H_S_PAR_2018,3,Dayn,86.22261127,11.615,64.2
SWIdahoCereals_H_S_PAR_2018,4,Dayn,108.8570397,10.235,62.2
SWIdahoCereals_H_S_PAR_2018,1,WA828,77.76092263,10.925,64.9
SWIdahoCereals_H_S_PAR_2018,2,WA828,109.6051508,11.5,64.9
SWIdahoCereals_H_S_PAR_2018,3,WA828,93.25710639,11.5575,64.4
SWIdahoCereals_H_S_PAR_2018,4,WA828,99.324102,9.0275,64
SWIdahoCereals_H_S_PAR_2018,1,Alum,71.14272545,9.9475,64.7
SWIdahoCereals_H_S_PAR_2018,2,Alum,119.4563296,10.7525,65.6
SWIdahoCereals_H_S_PAR_2018,3,Alum,93.35038727,12.995,66.3
SWIdahoCereals_H_S_PAR_2018,4,Alum,108.6535003,9.8325,65.5
SWIdahoCereals_H_S_PAR_2018,1,Glee,80.7961182,10.235,64.9
SWIdahoCereals_H_S_PAR_2018,2,Glee,106.2535377,9.1425,63.2
SWIdahoCereals_H_S_PAR_2018,3,Glee,93.51315022,10.5225,64.8
SWIdahoCereals_H_S_PAR_2018,4,Glee,94.1079796,10.2925,64.1
SWIdahoCereals_H_S_PAR_2018,1,IDO1603S,59.52928549,11.5575,64.6
SWIdahoCereals_H_S_PAR_2018,2,IDO1603S,98.24520549,12.0175,66
SWIdahoCereals_H_S_PAR_2018,3,IDO1603S,94.43683049,12.19,64.7
SWIdahoCereals_H_S_PAR_2018,4,IDO1603S,99.43261735,11.3275,64.5
SWIdahoCereals_H_S_PAR_2018,1,LCS Iron,70.28900082,9.89,64.1
SWIdahoCereals_H_S_PAR_2018,2,LCS Iron,112.1798463,11.27,64.9
SWIdahoCereals_H_S_PAR_2018,3,LCS Iron,103.3087918,9.7175,62.3
SWIdahoCereals_H_S_PAR_2018,4,LCS Iron,101.6261993,11.6725,64.2
SWIdahoCereals_H_S_PAR_2018,1,LCS Luna,49.4848143,12.5925,64.3
SWIdahoCereals_H_S_PAR_2018,2,LCS Luna,109.436151,10.695,64.7
SWIdahoCereals_H_S_PAR_2018,3,LCS Luna,97.00335459,11.845,64.5
SWIdahoCereals_H_S_PAR_2018,4,LCS Luna,103.3553113,10.695,65.1
SWIdahoCereals_H_S_PAR_2018,1,WB9411,57.13449172,10.35,65.2
SWIdahoCereals_H_S_PAR_2018,2,WB9411,110.2383283,11.04,64.7
SWIdahoCereals_H_S_PAR_2018,3,WB9411,97.18045527,10.1775,64.2
SWIdahoCereals_H_S_PAR_2018,4,WB9411,102.6894784,10.12,62.6
SWIdahoCereals_H_S_PAR_2018,1,WB9433,52.72833516,11.155,64.6
SWIdahoCereals_H_S_PAR_2018,2,WB9433,95.73230429,12.765,64.7
SWIdahoCereals_H_S_PAR_2018,3,WB9433,90.68485928,10.6375,64.8
SWIdahoCereals_H_S_PAR_2018,4,WB9433,108.2365979,11.2125,65.8
SWIdahoCereals_H_S_PAR_2018,1,WB9578,71.92381432,13.57,66.5
SWIdahoCereals_H_S_PAR_2018,2,WB9578,114.9837842,10.4075,64
SWIdahoCereals_H_S_PAR_2018,3,WB9578,101.3172681,9.7175,63
SWIdahoCereals_H_S_PAR_2018,4,WB9578,92.60066407,12.88,65.8
SWIdahoCereals_H_S_PAR_2018,1,WB9668,54.17376569,12.2475,65.7
SWIdahoCereals_H_S_PAR_2018,2,WB9668,97.40475056,11.3275,64.3
SWIdahoCereals_H_S_PAR_2018,3,WB9668,85.76871079,10.2925,64.9
SWIdahoCereals_H_S_PAR_2018,4,WB9668,103.4251057,11.0975,64.4
SWIdahoCereals_H_S_PAR_2018,1,12SB0224,77.0564192,10.4075,63.4
SWIdahoCereals_H_S_PAR_2018,2,12SB0224,97.17752324,10.35,64.1
SWIdahoCereals_H_S_PAR_2018,3,12SB0224,88.91232095,10.81,64.2
SWIdahoCereals_H_S_PAR_2018,4,12SB0224,100.3242569,10.81,64.9
SWIdahoCereals_H_S_PAR_2018,1,IDO1602S,73.29717334,9.545,65.4
SWIdahoCereals_H_S_PAR_2018,2,IDO1602S,102.1130977,10.695,64.8
SWIdahoCereals_H_S_PAR_2018,3,IDO1602S,80.32062549,12.65,63.6
SWIdahoCereals_H_S_PAR_2018,4,IDO1602S,106.679599,11.385,64.2
SWIdahoCereals_H_S_PAR_2018,1,IDO1604S,73.21268854,10.7525,65
SWIdahoCereals_H_S_PAR_2018,2,IDO1604S,109.1742431,11.73,64.8
SWIdahoCereals_H_S_PAR_2018,3,IDO1604S,83.05334836,11.155,64.5
SWIdahoCereals_H_S_PAR_2018,4,IDO1604S,112.7763281,11.04,65.1
SWIdahoCereals_H_S_PAR_2018,1,WB7328,53.76009751,10.235,64.9
SWIdahoCereals_H_S_PAR_2018,2,WB7328,104.2813493,11.5,65.5
SWIdahoCereals_H_S_PAR_2018,3,WB7328,85.26985252,9.7175,65.3
SWIdahoCereals_H_S_PAR_2018,4,WB7328,108.3880156,11.615,64.2
SWIdahoCereals_H_S_PAR_2018,1,WB7589,67.68803795,9.315,64.5
SWIdahoCereals_H_S_PAR_2018,2,WB7589,53.30612651,13.0525,63.3
SWIdahoCereals_H_S_PAR_2018,3,WB7589,94.17024746,10.4075,64.7
SWIdahoCereals_H_S_PAR_2018,4,WB7589,95.60124959,12.765,63.5
SWIdahoCereals_H_S_PAR_2018,1,UI Platinum,67.45513801,9.2575,63.9
SWIdahoCereals_H_S_PAR_2018,2,UI Platinum,111.2800857,9.8325,62.6
SWIdahoCereals_H_S_PAR_2018,3,UI Platinum,90.05085556,10.0625,64.5
SWIdahoCereals_H_S_PAR_2018,4,UI Platinum,101.9405714,13.11,63.9
SWIdahoCereals_H_S_PAR_2018,1,SY Gunsight,78.35715253,10.4075,64.3
SWIdahoCereals_H_S_PAR_2018,2,SY Gunsight,100.6455006,10.465,64.1
SWIdahoCereals_H_S_PAR_2018,3,SY Gunsight,91.54431699,9.7175,63.8
SWIdahoCereals_H_S_PAR_2018,4,SY Gunsight,109.7044872,10.1775,65.2
SWIdahoCereals_H_S_PAR_2018,1,SY Coho,66.74873027,10.7525,63.8
SWIdahoCereals_H_S_PAR_2018,2,SY Coho,95.19929945,10.925,64
SWIdahoCereals_H_S_PAR_2018,3,SY Coho,94.04690067,10.5225,64.5
SWIdahoCereals_H_S_PAR_2018,4,SY Coho,104.4950852,11.73,63.4
SWIdahoCereals_H_S_PAR_2018,1,06PN3017-09,75.4408906,10.58,65.7
SWIdahoCereals_H_S_PAR_2018,2,06PN3017-09,100.9825128,10.9825,65.3
SWIdahoCereals_H_S_PAR_2018,3,06PN3017-09,89.04802056,9.43,65.2
SWIdahoCereals_H_S_PAR_2018,4,06PN3017-09,100.3303124,11.155,63.9
SWIdahoCereals_H_S_WEI_2018,1,12SB0197,17.51661468,NA,47.2
SWIdahoCereals_H_S_WEI_2018,2,12SB0197,29.96011144,NA,59.4
SWIdahoCereals_H_S_WEI_2018,3,12SB0197,24.69555512,NA,59
SWIdahoCereals_H_S_WEI_2018,4,12SB0197,34.1717565,NA,61.9
SWIdahoCereals_H_S_WEI_2018,1,Alum,16.55942262,NA,45.2
SWIdahoCereals_H_S_WEI_2018,2,Alum,22.01541735,NA,58.5
SWIdahoCereals_H_S_WEI_2018,3,Alum,29.290077,NA,62.2
SWIdahoCereals_H_S_WEI_2018,4,Alum,24.5041167,NA,64
SWIdahoCereals_H_S_WEI_2018,1,Glee,21.82397894,NA,58.4
SWIdahoCereals_H_S_WEI_2018,2,Glee,23.06832862,NA,60.3
SWIdahoCereals_H_S_WEI_2018,3,Glee,28.23716573,NA,63.4
SWIdahoCereals_H_S_WEI_2018,4,Glee,33.98031809,NA,63.9
SWIdahoCereals_H_S_WEI_2018,1,IDO1603S,19.71815641,NA,52.9
SWIdahoCereals_H_S_WEI_2018,2,IDO1603S,29.00291938,NA,60.5
SWIdahoCereals_H_S_WEI_2018,3,IDO1603S,33.02312603,NA,61.2
SWIdahoCereals_H_S_WEI_2018,4,IDO1603S,33.31028364,NA,61.9
SWIdahoCereals_H_S_WEI_2018,1,Jefferson,20.86678688,NA,56.9
SWIdahoCereals_H_S_WEI_2018,2,Jefferson,23.73836306,NA,61.6
SWIdahoCereals_H_S_WEI_2018,3,Jefferson,27.56713129,NA,63.2
SWIdahoCereals_H_S_WEI_2018,4,Jefferson,33.69316047,NA,63.4
SWIdahoCereals_H_S_WEI_2018,1,LCS Iron,17.13373785,NA,46.1
SWIdahoCereals_H_S_WEI_2018,2,LCS Iron,28.52432335,NA,59.4
SWIdahoCereals_H_S_WEI_2018,3,LCS Iron,27.7585697,NA,60.4
SWIdahoCereals_H_S_WEI_2018,4,LCS Iron,33.02312603,NA,64.3
SWIdahoCereals_H_S_WEI_2018,1,LCS Luna,18.56952594,NA,50.5
SWIdahoCereals_H_S_WEI_2018,2,LCS Luna,22.30257497,NA,58.8
SWIdahoCereals_H_S_WEI_2018,3,LCS Luna,30.72586509,NA,61.8
SWIdahoCereals_H_S_WEI_2018,4,LCS Luna,31.77877635,NA,62.9
SWIdahoCereals_H_S_WEI_2018,1,SY Coho,21.82397894,NA,58.1
SWIdahoCereals_H_S_WEI_2018,2,SY Coho,24.4083975,NA,59.4
SWIdahoCereals_H_S_WEI_2018,3,SY Coho,28.04572732,NA,60.3
SWIdahoCereals_H_S_WEI_2018,4,SY Coho,32.06593397,NA,63.1
SWIdahoCereals_H_S_WEI_2018,1,SY Gunsight,19.81387562,NA,53.7
SWIdahoCereals_H_S_WEI_2018,2,SY Gunsight,24.12123988,NA,59.6
SWIdahoCereals_H_S_WEI_2018,3,SY Gunsight,30.63014588,NA,60.9
SWIdahoCereals_H_S_WEI_2018,4,SY Gunsight,29.86439223,NA,62.2
SWIdahoCereals_H_S_WEI_2018,1,WA828,19.81387562,NA,53.9
SWIdahoCereals_H_S_WEI_2018,2,WA828,25.55702797,NA,62
SWIdahoCereals_H_S_WEI_2018,3,WA828,28.42860415,NA,63.3
SWIdahoCereals_H_S_WEI_2018,4,WA828,31.10874191,NA,63.8
SWIdahoCereals_H_S_WEI_2018,1,WB9411,24.02552067,NA,62.8
SWIdahoCereals_H_S_WEI_2018,2,WB9411,32.44881079,NA,63.2
SWIdahoCereals_H_S_WEI_2018,3,WB9411,26.89709685,NA,62.8
SWIdahoCereals_H_S_WEI_2018,4,WB9411,29.09863859,NA,63.9
SWIdahoCereals_H_S_WEI_2018,1,WB9433,21.05822529,NA,57
SWIdahoCereals_H_S_WEI_2018,2,WB9433,25.74846638,NA,59.3
SWIdahoCereals_H_S_WEI_2018,3,WB9433,23.06832862,NA,58.6
SWIdahoCereals_H_S_WEI_2018,4,WB9433,29.57723462,NA,62
SWIdahoCereals_H_S_WEI_2018,1,WB9578,16.55942262,NA,44
SWIdahoCereals_H_S_WEI_2018,2,WB9578,21.1539445,NA,57.2
SWIdahoCereals_H_S_WEI_2018,3,WB9578,30.24726906,NA,62.5
SWIdahoCereals_H_S_WEI_2018,4,WB9578,33.31028364,NA,64.1
SWIdahoCereals_H_S_WEI_2018,1,WB9590,20.77106768,NA,56.1
SWIdahoCereals_H_S_WEI_2018,2,WB9590,26.99281606,NA,61.7
SWIdahoCereals_H_S_WEI_2018,3,WB9590,27.6628505,NA,62.3
SWIdahoCereals_H_S_WEI_2018,4,WB9590,32.16165317,NA,62.7
SWIdahoCereals_H_S_WEI_2018,1,WB9668,27.6947569,NA,61.3
SWIdahoCereals_H_S_WEI_2018,2,WB9668,25.26987035,NA,61.5
SWIdahoCereals_H_S_WEI_2018,3,WB9668,26.80137765,NA,60.5
SWIdahoCereals_H_S_WEI_2018,4,WB9668,31.0130227,NA,61.9
SWIdahoCereals_H_S_WEI_2018,1,06PN3017-09,21.53682132,NA,56.1
SWIdahoCereals_H_S_WEI_2018,2,06PN3017-09,26.70565844,NA,61.4
SWIdahoCereals_H_S_WEI_2018,3,06PN3017-09,28.90720017,NA,61.8
SWIdahoCereals_H_S_WEI_2018,4,06PN3017-09,31.68305714,NA,62.3
SWIdahoCereals_H_S_WEI_2018,1,12SB0224,18.95240276,NA,51.3
SWIdahoCereals_H_S_WEI_2018,2,12SB0224,24.59983591,NA,58.7
SWIdahoCereals_H_S_WEI_2018,3,12SB0224,23.16404782,NA,58.3
SWIdahoCereals_H_S_WEI_2018,4,12SB0224,32.92740682,NA,61
SWIdahoCereals_H_S_WEI_2018,1,Dayn,16.75086103,NA,46.2
SWIdahoCereals_H_S_WEI_2018,2,Dayn,22.49401338,NA,59.6
SWIdahoCereals_H_S_WEI_2018,3,Dayn,29.290077,NA,63
SWIdahoCereals_H_S_WEI_2018,4,Dayn,36.27757903,NA,63.7
SWIdahoCereals_H_S_WEI_2018,1,IDO1602S,24.12123988,NA,59.3
SWIdahoCereals_H_S_WEI_2018,2,IDO1602S,28.04572732,NA,61.2
SWIdahoCereals_H_S_WEI_2018,3,IDO1602S,33.40600285,NA,61.5
SWIdahoCereals_H_S_WEI_2018,4,IDO1602S,38.57483997,NA,62.6
SWIdahoCereals_H_S_WEI_2018,1,IDO1604S,23.73836306,NA,58.3
SWIdahoCereals_H_S_WEI_2018,2,IDO1604S,22.68545179,NA,57.7
