trial,program,pi,nursery,year,location,grower_cooperator,irrigation,latitude,longitude,planting_date,harvest_date,exp_design
SWIdahoCereals_HWW_PAR_2020,SWIdahoCereals,OWalsh,HWW,2020,Parma,UI Parma REE Center,irrigated,43.8000013,-116.955378,10/7/2019,7/21/2020,RCBD
SWIdahoCereals_SWW_PAR_2020,SWIdahoCereals,OWalsh,SWW,2020,Parma,UI Parma REE Center,irrigated,43.8000013,-116.955378,10/7/2019,7/21/2020,RCBD
SWIdahoCereals_H_W_PAR_2018,SWIdahoCereals,OWalsh,H_W,2018,Parma,UI Parma REE Center,irrigated,43.8000013,-116.937665,10/25/2017,7/17/2018,RCBD
SWIdahoCereals_SWW_PAR_2018,SWIdahoCereals,OWalsh,SWW,2018,Parma,UI Parma REE Center,irrigated,43.8000013,-116.937665,10/25/2017,7/17/2018,RCBD
SWIdahoCereals_H_S_PAR_2018,SWIdahoCereals,OWalsh,H_S,2018,Parma,UI Parma REE Center,irrigated,43.800032,-116.938845,3/20/2018,7/31/2018,RCBD
SWIdahoCereals_SWS_PAR_2018,SWIdahoCereals,OWalsh,SWS,2018,Parma,UI Parma REE Center,irrigated,43.800032,-116.938845,3/20/2018,7/31/2018,RCBD
SWIdahoCereals_HRS_PAR_2016,SWIdahoCereals,OWalsh,HRS,2016,Parma,UI Parma REE Center,irrigated,43.800879,-116.9395,3/24/2016,8/12/2016,RCBD
SWIdahoCereals_HWS_PAR_2016,SWIdahoCereals,OWalsh,HWS,2016,Parma,UI Parma REE Center,irrigated,43.800879,-116.9395,3/24/2016,8/12/2016,RCBD
SWIdahoCereals_SWS_PAR_2016,SWIdahoCereals,OWalsh,SWS,2016,Parma,UI Parma REE Center,irrigated,43.800879,-116.9395,3/24/2016,8/12/2016,RCBD
SWIdahoCereals_HRS_PAR_2017,SWIdahoCereals,OWalsh,HRS,2017,Parma,UI Parma REE Center,irrigated,43.802579,-116.9427,4/5/2017,8/1/2017,RCBD
SWIdahoCereals_HWS_PAR_2017,SWIdahoCereals,OWalsh,HWS,2017,Parma,UI Parma REE Center,irrigated,43.802579,-116.9427,4/5/2017,8/1/2017,RCBD
SWIdahoCereals_SWS_PAR_2017,SWIdahoCereals,OWalsh,SWS,2017,Parma,UI Parma REE Center,irrigated,43.802579,-116.9427,4/5/2017,8/1/2017,RCBD
SWIdahoCereals_HRW_PAR_2019,SWIdahoCereals,OWalsh,HRW,2019,Parma,UI Parma REE Center,irrigated,43.803972,-116.951628,10/26/2018,7/30/2019,RCBD
SWIdahoCereals_HWW_PAR_2019,SWIdahoCereals,OWalsh,HWW,2019,Parma,UI Parma REE Center,irrigated,43.803972,-116.951628,10/26/2018,7/30/2019,RCBD
SWIdahoCereals_SWW_PAR_2019,SWIdahoCereals,OWalsh,SWW,2019,Parma,UI Parma REE Center,irrigated,43.803972,-116.951628,10/26/2018,7/30/2019,RCBD
SWIdahoCereals_H_W_PAR_2017,SWIdahoCereals,OWalsh,H_W,2017,Parma,UI Parma REE Center,irrigated,43.804572,-116.945251,10/20/2015,7/20/2017,RCBD
SWIdahoCereals_SWW_PAR_2017,SWIdahoCereals,OWalsh,SWW,2017,Parma,UI Parma REE Center,irrigated,43.804572,-116.945251,10/20/2015,7/20/2017,RCBD
SWIdahoCereals_HRW_PAR_2020,SWIdahoCereals,OWalsh,HRW,2020,Parma,UI Parma REE Center,irrigated,43.80458,-116.955378,10/7/2019,7/21/2020,RCBD
SWIdahoCereals_HRS_PAR_2020,SWIdahoCereals,OWalsh,HRS,2020,Parma,UI Parma REE Center,irrigated,43.805416,-116.956445,3/11/2020,8/4/2020,RCBD
SWIdahoCereals_HWS_PAR_2020,SWIdahoCereals,OWalsh,HWS,2020,Parma,UI Parma REE Center,irrigated,43.805416,-116.956445,3/11/2020,8/4/2020,RCBD
SWIdahoCereals_SWS_PAR_2020,SWIdahoCereals,OWalsh,SWS,2020,Parma,UI Parma REE Center,irrigated,43.805416,-116.956445,3/11/2020,8/4/2020,RCBD
SWIdahoCereals_HRS_PAR_2019,SWIdahoCereals,OWalsh,HRS,2019,Parma,UI Parma REE Center,irrigated,43.806066,-116.954079,4/3/2019,8/12/2019,RCBD
SWIdahoCereals_HWS_PAR_2019,SWIdahoCereals,OWalsh,HWS,2019,Parma,UI Parma REE Center,irrigated,43.806066,-116.954079,4/3/2019,8/12/2019,RCBD
SWIdahoCereals_SWS_PAR_2019,SWIdahoCereals,OWalsh,SWS,2019,Parma,UI Parma REE Center,irrigated,43.806066,-116.954079,4/3/2019,8/12/2019,RCBD
SWIdahoCereals_H_S_WEI_2018,SWIdahoCereals,OWalsh,H_S,2018,Weiser,UI Parma REE Center,dryland,44.343331,-116.899438,4/5/2018,7/13/2018,RCBD
SWIdahoCereals_H_W_WEI_2018,SWIdahoCereals,OWalsh,H_W,2018,Weiser,UI Parma REE Center,dryland,44.343331,-116.899438,10/26/2017,7/13/2018,RCBD
SWIdahoCereals_SWS_WEI_2018,SWIdahoCereals,OWalsh,SWS,2018,Weiser,UI Parma REE Center,dryland,44.343331,-116.899438,4/5/2018,7/13/2018,RCBD
SWIdahoCereals_SWW_WEI_2018,SWIdahoCereals,OWalsh,SWW,2018,Weiser,UI Parma REE Center,dryland,44.343331,-116.899438,10/26/2017,7/13/2018,RCBD
